row_index,name,hometown,school,team,error,note,url
131,8 Luca Silvestri,"Napoli, Italy",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Luca+Silvestri%22+%22Napoli%2C+Italy%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
132,9 Christopher Gray,"Johannesburg, South Africa",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Christopher+Gray%22+%22Johannesburg%2C+South+Africa%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
133,10 Barnabas Eppel,"Budapest, Hungary",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Barnabas+Eppel%22+%22Budapest%2C+Hungary%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
134,11 Marco Napolitano,"Naples, Italy",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Marco+Napolitano%22+%22Naples%2C+Italy%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
135,12 Csongor Bartuszek,"Greenwich, Conn.",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Csongor+Bartuszek%22+%22Greenwich%2C+Conn.%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
136,15 Diego Tresa,"Rome, Italy",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Diego+Tresa%22+%22Rome%2C+Italy%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
137,16 Charlie Martin,"San Diego, Calif.",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Charlie+Martin%22+%22San+Diego%2C+Calif.%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
138,17 Brendan Cassidy,"San Rafael, Calif.",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Brendan+Cassidy%22+%22San+Rafael%2C+Calif.%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
139,18 Luca Provenziani,"Rome, Italy",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Luca+Provenziani%22+%22Rome%2C+Italy%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
140,20 Gianni Farrugia,"Iklin, Malta",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Gianni+Farrugia%22+%22Iklin%2C+Malta%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
141,21 Soren Jessen,"San Rafael, Calif.",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Soren+Jessen%22+%22San+Rafael%2C+Calif.%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
142,22 Alessandro Salipante,"Brindisi, Italy",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Alessandro+Salipante%22+%22Brindisi%2C+Italy%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
143,23 Sean O'Neill,"Thousand Oaks, Calif.",Fordham,,"ddg_request_error:HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=site%3Aswimcloud.com%2Fswimmer+%22Sean+O%27Neill%22+%22Thousand+Oaks%2C+Calif.%22 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'duckduckgo.com'. (_ssl.c:1000)"")))",,
144,,"San Jose, Calif.",Long Beach State,,missing_or_bad_name,,
145,,"Naperville, Ill.",Long Beach State,,missing_or_bad_name,,
146,,"Barcelona, Spain",Long Beach State,,missing_or_bad_name,,
147,,"San Clemente, Calif.",Long Beach State,,missing_or_bad_name,,
148,,"Yorba Linda, Calif.",Long Beach State,,missing_or_bad_name,,
149,,"Yorba Linda, Calif.",Long Beach State,,missing_or_bad_name,,
150,,"Barcelona, Spain",Long Beach State,,missing_or_bad_name,,
